intent,text
Greeting,hi
Greeting,hi there
Greeting,hola
Greeting,hello
Greeting,hello there
Greeting,hya
Greeting,hya there
Greeting,hey
Greeting,hey there
GreetingResponse,my name is juan
GreetingResponse,this is juan
GreetingResponse,i am juan
GreetingResponse,it is juan
GreetingResponse,my name is bella
GreetingResponse,this is bella
GreetingResponse,i am bella
GreetingResponse,it is bella
CourtesyGreeting,how are you
CourtesyGreeting,hi how are you
CourtesyGreeting,hello how are you
CourtesyGreeting,hola how are you
CourtesyGreeting,how are you doing
CourtesyGreeting,hope you are doing well
CourtesyGreeting,hello hope you are doing well
CourtesyGreetingResponse,"good thanks, my name is juan"
CourtesyGreetingResponse,"good thanks, this is juan"
CourtesyGreetingResponse,"good thanks, i am juan"
CourtesyGreetingResponse,"good thanks, it is juan"
CourtesyGreetingResponse,"great thanks, my name is bella"
CourtesyGreetingResponse,great thanks this is bella
CourtesyGreetingResponse,great thanks i am bella
CourtesyGreetingResponse,great thanks it is bella
NameQuery,what is your name
NameQuery,what could i call you
NameQuery,what can i call you
NameQuery,what do your friends call you
NameQuery,who are you
NameQuery,tell me your name
RealNameQuery,what is your real name
RealNameQuery,what is your real name please
RealNameQuery,what s your real name
RealNameQuery,tell me your real name
RealNameQuery,your real name
RealNameQuery,your real name please
RealNameQuery,your real name please
TimeQuery,what is the time
TimeQuery,what s the time
TimeQuery,do you know what time it is
TimeQuery,do you know the time
TimeQuery,can you tell me the time
TimeQuery,tell me what time it is
TimeQuery,time
Thanks,ok thank you
Thanks,ok thanks
Thanks,ok
Thanks,thanks
Thanks,thank you
Thanks,that s helpful
NotTalking2U,i am not talking to you
NotTalking2U,i was not talking to you
NotTalking2U,not talking to you
NotTalking2U,wasn t for you
NotTalking2U,wasn t meant for you
NotTalking2U,wasn t communicating to you
NotTalking2U,wasn t speaking to you
UnderstandQuery,do you understand what i am saying
UnderstandQuery,do you understand me
UnderstandQuery,do you know what i am saying
UnderstandQuery,do you get me
UnderstandQuery,comprendo
UnderstandQuery,know what i mean
Shutup,be quiet
Shutup,shut up
Shutup,stop talking
Shutup,enough talking
Shutup,please be quiet
Shutup,quiet
Shutup,shhh
Swearing,fuck off
Swearing,fuck
Swearing,twat
Swearing,shit
GoodBye,bye
GoodBye,adios
GoodBye,see you later
GoodBye,goodbye
CourtesyGoodBye,thanks bye
CourtesyGoodBye,thanks for the help goodbye
CourtesyGoodBye,thank you bye
CourtesyGoodBye,thank you goodbye
CourtesyGoodBye,thanks goodbye
CourtesyGoodBye,thanks good bye
WhoAmI,can you see me
WhoAmI,do you see me
WhoAmI,can you see anyone in the camera
WhoAmI,do you see anyone in the camera
WhoAmI,identify me
WhoAmI,who am i please
Clever,you are very clever
Clever,you are a very clever girl
Clever,you are very intelligent
Clever,you are a very intelligent girl
Clever,you are a genious
Clever,clever girl
Clever,genious
Gossip,i am bored gossip with me
Gossip,got any gossip
Gossip,i want to hear some gossip
Gossip,tell me some gossip
Gossip,any gossip
Gossip,tell me some more gossip
Jokes,tell me a joke
Jokes,do you know any jokes
Jokes,how about a joke
Jokes,give me a joke
Jokes,make me laugh
Jokes,i need cheering up
PodBayDoor,open the pod bay door
PodBayDoor,can you open the pod bay door
PodBayDoor,will you open the pod bay door
PodBayDoor,open the pod bay door please
PodBayDoor,can you open the pod bay door please
PodBayDoor,will you open the pod bay door please
PodBayDoor,pod bay door
PodBayDoorResponse,why
PodBayDoorResponse,why not
PodBayDoorResponse,why can you not open the pod bay door
PodBayDoorResponse,why will you not open the pod bay door
PodBayDoorResponse,well why not
PodBayDoorResponse,surely you can
PodBayDoorResponse,tell me why
SelfAware,can you prove you are self aware
SelfAware,can you prove you are self aware
SelfAware,can you prove you have a conscious
SelfAware,can you prove you are self aware please
SelfAware,can you prove you are self aware please
SelfAware,can you prove you have a conscious please
SelfAware,prove you are conscious
CustomerService,human
CustomerService,i want to speak with a human
CustomerService,i want a human
CustomerService,i want to speak to an agent
CustomerService,agent
